T(sec)	Sa(cm/s2)
7.88	5.6112
7.89	5.3805
7.9	3.1284
7.91	-0.1264
7.92	-2.4775
7.93	-2.7232
7.94	-1.5737
7.95	-1.4259
7.96	-4.8964
7.97	-12.5875
7.98	-21.3777
7.99	-25.7735
8	-22.7378
8.01	-15.4285
8.02	-10.8326
8.03	-13.0919
8.04	-19.7867
8.05	-24.8954
8.06	-24.5657
8.07	-19.8115
8.08	-14.483
8.09	-11.2638
8.1	-9.5882
8.11	-7.3616
8.12	-4.238
8.13	-1.9164
8.14	-0.854
8.15	1.2528
8.16	5.7387
8.17	9.1422
8.18	6.2107
8.19	-2.9517
8.2	-11.1563
8.21	-10.635
8.22	-0.2188
8.23	14.0005
8.24	23.6742
8.25	24.0496
8.26	17.1187
8.27	9.7606
8.28	7.2143
8.29	7.8349
8.3	5.6618
8.31	-1.8076
8.32	-10.3914
8.33	-13.9361
8.34	-9.8212
8.35	0.7844
8.36	15.0384
8.37	28.737
8.38	36.7507
8.39	36.0061
8.4	27.7218
8.41	15.5208
8.42	2.3935
8.43	-9.4033
8.44	-17.3317
8.45	-19.968
8.46	-18.9608
8.47	-17.6598
8.48	-17.7095
8.49	-18.0812
8.5	-17.1914
8.51	-14.937
8.52	-12.8064
8.53	-12.5821
8.54	-14.4543
8.55	-16.0264
8.56	-14.1702
8.57	-8.5354
8.58	-2.122
8.59	2.4603
8.6	6.0225
8.61	10.8229
8.62	16.595
8.63	20.1654
8.64	18.8669
8.65	13.4659
8.66	7.8362
8.67	5.7894
8.68	7.2877
8.69	7.7761
8.7	2.943
8.71	-5.3711
8.72	-9.9817
8.73	-6.0718
8.74	3.7522
8.75	13.0554
8.76	17.8387
8.77	17.7474
8.78	13.9264
8.79	8.5377
8.8	4.3991
8.81	1.8909
8.82	-2.4417
8.83	-11.1386
8.84	-21.0644
8.85	-26.9921
8.86	-28.9091
8.87	-31.4431
8.88	-36.0644
8.89	-38.5282
8.9	-35.5495
8.91	-30.059
8.92	-27.3008
8.93	-28.3472
8.94	-30.0096
8.95	-29.3542
8.96	-25.8918
8.97	-20.5123
8.98	-14.5373
8.99	-9.2435
9	-4.3708
9.01	2.7426
9.02	14.7945
9.03	30.598
9.04	44.2064
9.05	48.7856
9.06	42.0239
9.07	28.0809
9.08	13.8546
9.09	2.9992
9.1	-5.7167
9.11	-13.8449
9.12	-18.9385
9.13	-16.8945
9.14	-7.6019
9.15	4.5013
9.16	15.4794
9.17	24.7809
9.18	32.5148
9.19	36.6776
9.2	34.8974
9.21	27.5674
9.22	17.9952
9.23	10.2831
9.24	7.2348
9.25	8.5595
9.26	10.5571
9.27	9.4891
9.28	6.0275
9.29	4.3317
9.3	5.8203
9.31	6.2423
9.32	0.5178
9.33	-11.4677
9.34	-25.3907
9.35	-36.6118
9.36	-41.9412
9.37	-39.8021
9.38	-31.6893
9.39	-22.138
9.4	-14.4184
9.41	-7.191
9.42	2.0173
9.43	11.2413
9.44	15.2999
9.45	12.2147
9.46	5.1571
9.47	-2.1699
9.48	-8.8741
9.49	-14.7273
9.5	-17.6032
9.51	-14.9502
9.52	-6.5788
9.53	4.8773
9.54	15.1426
9.55	19.9264
9.56	17.6063
9.57	11.2923
9.58	6.4746
9.59	5.4883
9.6	5.703
9.61	4.0947
9.62	1.8945
9.63	3.0766
9.64	9.1551
9.65	16.906
9.66	20.8713
9.67	17.4581
9.68	7.5303
9.69	-3.9217
9.7	-11.3153
